input,time,algorithm,language
1,0.0071669999999990006,fibonacci,deno
5,0.001374999999999,fibonacci,deno
10,0.004332999999999,fibonacci,deno
15,0.082458,fibonacci,deno
20,0.18558299999999903,fibonacci,deno
25,0.5341249999999991,fibonacci,deno
30,4.952999999999999,fibonacci,deno
35,57.07725000000001,fibonacci,deno
40,617.456167,fibonacci,deno
45,6813.45325,fibonacci,deno
1,0.00079100000039,fibonacci,deno
5,0.00045899999986400005,fibonacci,deno
10,0.0009159999999610001,fibonacci,deno
15,0.004334000000199001,fibonacci,deno
20,0.041499999999359,fibonacci,deno
25,0.45141699999931,fibonacci,deno
30,5.082499999999527,fibonacci,deno
35,55.809957999999824,fibonacci,deno
40,627.4833749999998,fibonacci,deno
45,6890.942541,fibonacci,deno
1,0.0046249999995770005,fibonacci,deno
5,0.000499999998282,fibonacci,deno
10,0.000959000000875,fibonacci,deno
15,0.003916000001481,fibonacci,deno
20,0.03808299999946,fibonacci,deno
25,0.480665999999473,fibonacci,deno
30,4.852875000000495,fibonacci,deno
35,58.45054199999868,fibonacci,deno
40,628.9975830000003,fibonacci,deno
45,6902.019625000001,fibonacci,deno
1,0.005292000000000001,fibonacci,nodejs
5,0.036208000000000004,fibonacci,nodejs
10,0.001708,fibonacci,nodejs
15,0.012667000000000001,fibonacci,nodejs
20,0.338499999999999,fibonacci,nodejs
25,0.9915409999999991,fibonacci,nodejs
30,5.176708000000001,fibonacci,nodejs
35,57.410458000000006,fibonacci,nodejs
40,613.40275,fibonacci,nodejs
45,6904.486833,fibonacci,nodejs
1,0.000375000000531,fibonacci,nodejs
5,0.00025000000005,fibonacci,nodejs
10,0.000624999999672,fibonacci,nodejs
15,0.0039999999999050006,fibonacci,nodejs
20,0.042042000000037,fibonacci,nodejs
25,0.453083000000333,fibonacci,nodejs
30,5.164416000000529,fibonacci,nodejs
35,56.533666999999696,fibonacci,nodejs
40,618.4352079999999,fibonacci,nodejs
45,6950.129542000001,fibonacci,nodejs
1,0.0007920000007280001,fibonacci,nodejs
5,0.000207999999474,fibonacci,nodejs
10,0.00045800000043500004,fibonacci,nodejs
15,0.003875000000334,fibonacci,nodejs
